Week,Monday,Tuesday,Wednesday,Thursday,Friday
1,`9/26` ,`9/27` ,`9/28` Introduction & Separable ODE,`9/29` ,`9/30` First order linear ODE
2,`10/3` Series solution,`10/4` ,`10/5` Homogeneous second order ODE,`10/6` HW 1 due,`10/7` Linearity
3,`10/10` Operators,`10/11` ,`10/12` Systems with simple roots,`10/13` HW 2 due,`10/14` Systems with repeated roots
4,`10/17` Phase portrait of 2D linear systems,`10/18` ,`10/19` Introduction to PDE,`10/20` ,`10/21` Exam 1 (up to 10/17)
5,`10/24` Separation of variables,`10/25` HW 3 due,`10/26` Boundary conditions,`10/27` ,`10/28` Fourier series
6,`10/31` Fourier series (cont'd),`11/1` HW 4 due,`11/2` Extensions,`11/3` ,`11/4` Heat equations
7,`11/7` Wave equations,`11/8` HW 5 due,`11/9` Fourier transform,`11/10` ,`11/11` Inhomogeneity
8,`11/14` Inhomogeneous second order ODE,`11/15` ,`11/16` Exam 2 (up to 11/9),`11/17` HW 6 due,`11/18` Laplace transform
*,`11/21` ,`11/22` ,`11/23` ,`11/24` ,`11/25` 
9,`11/28` Laplace transform (cont'd),`11/29` ,`11/30` Convolution,`12/1` HW 7 due,`12/2` Dirac and Heaviside
**,`12/5` ,`12/6` ,`12/7` ,`12/8` ,`12/9` 
