Week,Monday,Tuesday,Wednesday,Thursday,Friday
1,,,Introduction & Separable ODE,,First order linear ODE
2,Series solution,,Homogeneous second order ODE,HW 1 due,Linearity
3,Operators,,Systems with simple roots,HW 2 due,Systems with repeated roots
4,Phase portrait of 2D linear systems,,Introduction to PDE,,Exam 1 (up to 10/17)
5,Separation of variables,HW 3 due,Boundary conditions,,Fourier series
6,Fourier series (cont'd),HW 4 due,Extensions,,Heat equations
7,Wave equations,HW 5 due,Fourier transform,,Inhomogeneity
8,Inhomogeneous second order ODE,,Exam 2 (up to 11/9),HW 6 due,Laplace transform
*,,,,,
9,Laplace transform (cont'd),,Convolution,HW 7 due,Dirac and Heaviside
**,,,,,
