Week,Monday,Tuesday,Wednesday,Thursday,Friday
1,`1/1` ,`1/2` ,`1/3` ,`1/4` §1.1-1.5 First order equations,`1/5` 
2,`1/8` ,"`1/9` §1.11 Comparison principle, Gronwall lemma",`1/10` ,"`1/11` §6.1-6.3, 6.6-6.7, 6.12 Existence and uniqueness, continuition",`1/12` 
3,`1/15` ,`1/16` §6.3-6.4 Dependence on initial data and parameter,`1/17` ,"`1/18` §7.1-7.2, 6.10 Euler solution, Peano existence",`1/19` 
4,`1/22` ,`1/23` §2.1-2.5 Second order linear equations,`1/24` ,"`1/25` §2.8, 10.1-10.2 Strum-liouville theory",`1/26` 
5,`1/29` ,`1/30` §A.1-A.2 Jordan form,`1/31` ,`2/1` *Generalized eigenvectors,`2/2` 
6,`2/5` ,`2/6` Midterm,`2/7` ,`2/8` §5.1-5.3 Plane autonomous system,`2/9` 
7,`2/12` ,`2/13` 5.4-5.6 Singular point,`2/14` ,`2/15` §5.12 Limit cycles,`2/16` 
8,`2/19` ,`2/20` *Global analysis,`2/21` ,`2/22` *Poincare disk,`2/23` 
9,`2/26` ,`2/27` §B.1 Bifurcation theory,`2/28` ,`2/29` *Stable manifold,`3/1` 
**,`3/4` ,`3/5` ,`3/6` ,`3/7` ,`3/8` 
